"Phase","Index","Label","Description","Category","Level","Symptom","Entry"
"3","2426.0","family history of tinea versicolor","Tinea versicolor is an infection that interferes with normal pigmentation of the skin, typically resulting in painless discolored patches","Family History","2","tinea versicolor is present among relatives","I have tinea versicolor, which is also present among some of my relatives"
"3","2466.0","nail biting","Usually biting the nails or the skin surrounding them","Risk factor","2","putting nails in mouth","I am putting my nails in my mouth."
"3","83.0","tracheostomy","Having a tube inserted at the front of neck to enable you to breathe","Procedure / Surgery","2","tracheal incision","My former doctor diagnosed me with tracheal incision."
"3","5030.0","family history of neurofibromatosis type 2","Neurofibromatosis is a condition characterized by the growth of non-cancerous tumors in the nervous system","Family History","2","grandma had neurofibromatosis type 2","My father's mother has been diagnosed with neurofibromatosis type 2"
"1","982","swelling in scrotum","Lump or swelling in testicle sac","Symptom","2","bulge in testicles","There is a bulge in my testicles that I noticed this afternoon."
"3","1827.0","family history of acute angle closure glaucoma","Acute angle closure glaucoma is a serious eye condition that occurs when the fluid pressure inside your eye rises quickly","Family History","2","acute angle closure glaucoma has been seen in multiple family members","Multiple members of my family have been diagnosed with acute angle closure glaucoma."
"1","385","foreign body sensation in the eye","Feeling something in the eye","Symptom","1","foreign body sensation in the eye","It feels like there is something in my eye but I can't see it or get it out."
"3","2812.0","having objects inside ear canal","Recently using cotton swabs, bobby pins, or earbuds or inserting any objects in the ear canal","Risk factor","1","having objects inside ear canal","""I have had objects inside my ear canal."""
"3","3735.0","family history of stroke","Stroke occurs when a blood vessel that carries oxygen and nutrients to the brain is either blocked by a clot or ruptures","Family History","2","family history of cerebrovascular insult","Last year, I have an stroke. I´ve got cerebrovascular insult ."
"1","882","scrotum looks like a bag of worms","Testicular sac looks like a bag of worms","Symptom","2","veins in testicles are swollen","My testicular sac looks like a bag of worms, and I've observed that my testicles' veins are enlarged. This recurrent problem is making people uncomfortable and concerned. I would value your opinion and advice on how to handle this situation."
"3","6135.0","family history of kidney disease","Having a family history of kidney disease","Family History","2","mother had kidney disease","I would like you to know that my mother that kidney disease."
"3","3250.0","constipation","Often have constipation (when pooping becomes less frequent and poop becomes difficult to pass)","Symptom","3","chronic constipation","I often find it difficult to pass stool and I have noticed that this has been a long-term pattern. Additionally, even when I do pass stool, it is usually hard and dry."
"3","1748.0","family history of croup","Your parents, siblings or your children ever been diagnosed with Croup; an infection of the upper airway, which obstructs breathing and causes a barking cough","Family History","2","family history of obstructive laryngitis,","I have been previously  diagnosed with family history obstructive laryngitis."
"3","4373.0","puva therapy","PUVA therapy combines a type of medicine (Psoralen) with ultraviolet A light to treat some conditions","Procedure / Surgery","2","psoralen plus ultraviolet a therapy","I have undergone psoralen plus ultraviolet A therapy as part of my medical history."
"3","4639.0","history of allergy","Suffering from any allergic diseases such as eczema, asthma, hay fever, anaphylaxis, or any food allergies","Disease / Medical Condition","2","allergy is part of the medical background","During questioning,what allergy is part of the medical background ."
"3","5208.0","previous eye infection","Ever had any infection in your eyes","Disease / Medical Condition","2","history of eye inflammation","I have a history of eye inflammation, which is an issue that affects both genders."
"1","513","sleepiness","","Symptom","2","multiple alarms with no wake up","I have 5 different alarms that go off in the morning and I'm still having trouble waking up."
"3","2462.0","liver cancer","A tumour that begins in the liver","Disease / Medical Condition","2","hcc,
liver cell carcinoma,
hepatic cancer,
hepatic cell carcinoma,
hepatoma,
liver malignancy,
liver tumor,
hepatic neoplasm","I have a history of these: hcc, liver cell carcinoma, hepatic cancer, hepatic cell carcinoma, hepatoma, liver malignancy, liver tumor, hepatic neoplasm"
"3","5755.0","history of multiple sclerosis","Multiple sclerosis is a disorder in which the body's immune system attacks the protective covering of the nerve cells","Disease / Medical Condition","2","history of autoimmune demyelinating disease","i have been history of autoimmune demyelinating disease"
"1","71","stress","","Symptom","2","worried","I felt lonely and feel worry always. I don't have good mood now a days feel restless always."
"3","1133.0","walking barefoot in public areas","Walking without wearing shoes","Risk factor","2","not wearing shoes outside","I often don't wear shoes outside."
"1","1105","trismus","Difficulty opening the mouth","Symptom","2","jaw immobility","Doctor, I've been experiencing immobility in my jaw. It has become increasingly difficult to open my mouth fully, and there is a noticeable limitation in the range of motion. This started a few weeks ago, and it's causing discomfort while eating, speaking, and even yawning."
"3","3519.0","diabetic retinopathy","Diabetic retinopathy is a complication of diabetes caused by high blood sugar levels damaging the back of the eye (retina)","Disease / Medical Condition","3","diabetic retinopathy","I have an eye condition that is related to my diabetes."
"1","883","scrotum looks like a bag of worms","Testicular sac looks like a bag of worms","Symptom","2","enlargement of the veins within the scrotum","I got hit in the balls with a puck playing hockey two days ago.  My balls hurt, but my ball sack is swollen and veiny.  It hurts to sit for more than a short period of time and im having pains walking and running.  They are tender to the touch and its painful when i get aroused."
"3","264.0","intracranial aneurysm","Intracranial aneurysm is a bulge or ballooning in a blood vessel in the brain","Disease / Medical Condition","1","intracranial aneurysm","I am suffering from intracranial aneurysm since last night."
"1","1853","weak immune system","","Symptom","2","recurrent episodes of middle ear infection","I have been having recurrent episodes of middle ear infection. The pain and discomfort in my ear come and go, and it's been happening quite frequently."
"3","5611.0","cushing syndrome","Cushing syndrome is a disorder that occurs when your body makes too much of the hormone cortisol over a long period","Disease / Medical Condition","2","adrenal hyperplasia syndrome","I have been diagnosed with adrenal hyperplasia syndrome, which is a condition that affects both genders."
"3","5063.0","history of breast surgery","Undergone breast surgery","Procedure / Surgery","2","dealing with breast surgery before","I have a history of dealing with breast surgery before."
"3","5525.0","family history of colonic polyps","Colonic polyps are fleshy growths present on the surface of the colon or of the rectum","Family History","2","colonic polyps is prevalent in family","Colonic polyps runs in my family"
"3","4172.0","recent trauma or injury in lower extremity","Lower body includes your leg, ankle, or foot","Risk factor","2","a recent record of  trauma or injury in lower extremity","I recently had a right leg injury treated."
"1","272","breast swelling","","Symptom","2","bulging breasts","I've been experiencing the symptom of bulging breasts."
"3","4463.0","eclampsia","Eclampsia is a serious condition where high blood pressure results in seizures during pregnancy","Disease / Medical Condition","2","pregnancy-induced fits","I experienced pregnancy-induced fits during my last pregnancy, and I wanted to inform you about this history as I'm currently pregnant again and concerned about its potential recurrence and its impact on my health and the pregnancy."
"3","2019.0","giant cell arteritis","Giant cell arteritis is an inflammation of the lining of your arteries","Disease / Medical Condition","3","giant cell arteritis","I've had a previous condition that involved inflammation within my arteries."
"3","1139.0","prolonged wear of occlusive footwear","Usually wearing shoes that enclose the feet for long periods of time","Risk factor","2","persistent use of occlusive shoes","I persistently use occlusive shoes"
